county_name,crime_rate_per_100000,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,Households,Mean,Stdev
"Stevens County, WA",101.31245679999999,0,10,1,33,316,537,66,1,43430,1967.0,68405.0878656854,297630834.11015844
"Sioux County, IA",101.3112571,0,3,1,31,61,103,5,1,34547,2638.0,123831.75848369065,357157000.9321901
"Wilson County, TX",101.2814303,3,6,3,34,143,437,39,0,45418,2514.0,109891.10594792399,119052333.64406338
"Greene County, VA",101.0423314,0,8,0,11,31,213,9,2,18804,418.0,78007.740055243,59526166.82203169
"Bonner County, ID",100.7395759,2,4,2,32,295,606,64,1,40699,2081.0,89558.63390809117,476209334.5762535
"Platte County, MO",100.73947059999999,2,6,5,80,143,682,46,20,93310,24314.0,137150.3856440058,535735501.39828515
"Otter Tail County, MN",100.72767059999998,1,15,3,39,252,627,45,5,57581,10538.0,96509.47531792405,773840168.6864121
"Fayette County, TX",100.7211635,1,2,3,19,90,176,14,1,24821,2719.0,115606.99967846203,178578500.4660951
"Barron County, WI",100.7093441,1,10,6,29,147,437,18,2,45676,6914.0,88339.46002587647,416683167.7542218
"Trego County, KS",100.67114090000001,0,2,0,1,8,27,3,1,2980,34.0,76270.5514287604,59526166.82203169
"Carroll County, KY",100.4291062,1,3,0,7,56,101,12,3,10953,185.0,72715.59026357402,119052333.64406338
"Randolph County, IL",100.33444820000001,0,4,2,27,62,184,9,1,32890,823.0,87816.27739748267,238104667.28812677
"Grant County, MN",100.18367009999999,0,4,0,2,37,52,7,0,5989,309.0,100896.64399628394,119052333.64406338
"Chase County, NE",100.0,0,1,0,3,5,29,1,0,4000,14.0,46871.7861665465,59526166.82203169
"Wyoming County, PA",99.98928686,0,7,1,20,99,274,25,2,28003,1164.0,108876.67815497835,119052333.64406338
"Red Willow County, NE",99.94548428,0,4,1,6,50,211,13,4,11006,115.0,81863.7761723701,59526166.82203169
"Gray County, KS",99.85022466,0,1,0,5,26,24,3,0,6009,115.0,110555.325077301,59526166.82203169
"Castro County, TX",99.626401,0,0,1,7,72,143,10,0,8030,1723.0,93575.10017850665,119052333.64406338
"Logan County, OK",99.05002026,0,5,4,35,231,483,48,7,44422,5018.0,86977.3093330783,476209334.5762535
"Douglas County, WA",98.80671886,1,11,7,20,260,550,32,4,39471,5840.0,96020.62690314502,238104667.28812677
"Franklin County, NY",98.6689367,1,14,5,31,201,710,25,2,51688,5679.0,91828.87104237244,416683167.7542218
"Stephenson County, IL",98.41677364,2,9,15,20,283,839,10,5,46740,2745.0,81081.47804532768,416683167.7542218
